symbol,price_mean,volume_mean,market_mean,range_mean,vol_ratio_mean
FT,0.029791937172774872,13894.225130890052,732687.0209424084,0.007666764397905758,0.007787258474133162
FTC,0.0794923647520864,190862.15463917525,8622189.486008836,0.014514245459008345,0.013011379088125332
FTI,0.003554299319727891,480150.25850340136,2206924.8571428573,0.0005632380952380953,0.029204380595903235
FTM,0.01604241935483871,3632263.5161290322,4862838.161290322,0.0024672580645161294,0.09178288162629449
FTO,9.910681818181818,912227.7272727273,0.0,0.8664772727272727,0.0
FTT,0.00390562037037037,52257.601851851854,1906948.148148148,0.0009718240740740741,0.02301598581912609
FTX,0.05820996832579185,98286.09049773756,3290039.221719457,0.00761968778280543,0.02126901413508153
FTXT,0.0001566326530612245,56020.15306122449,500820.8367346939,3.835714285714286e-05,0.09802003859208838
FUEL,0.06825071969696969,2326172.467171717,32306787.803030305,0.013458545454545454,0.07203451077763258
FUN,0.03358874088291747,4724705.896353167,149726835.58733204,0.007505652591170826,0.022881020919976482
FUNDZ,0.009370698412698414,82396.84126984127,0.0,0.0013961507936507938,0.0
FUZZ,0.008970398078975454,2553.1216648879404,43058.30949839915,0.004077843116328709,0.019851404357780388
FXT,0.02958004411764706,353315.9656862745,18568953.81372549,0.005271563725490196,0.017785499774527862
FYP,0.18025978987341773,18936.220253164556,3107726.635443038,0.06687560000000001,0.00808020384200042
GAM,3.814632430720507,20987.40142517815,4576685.276326207,0.5912979287410927,0.0056519788130034495
GAME,0.6985249157485418,875593.278029812,44526890.19572262,0.10382399546338301,0.013795009031936827
GAP,0.008732276306856756,1377.529531568228,93730.28920570265,0.00285477800407332,0.024011373381384028
GARD,0.00019596296296296297,261417.85925925925,859021.7111111111,2.4125925925925925e-05,0.03300826344692905
GARY,0.06481782653061224,1684.9438775510205,0.0,0.02353550255102041,0.0
GAS,18.821015625,5148038.216796875,171597520.984375,3.1705078125,0.02726684768910506
GAT,0.009635477707006368,205658.2229299363,4187012.7834394905,0.0021342547770700636,0.13897258390080394
GB,0.02270231368186874,6381.122358175751,339941.48387096776,0.006670784204671858,0.00860752073551733
GBC,0.33541665625,47964.6015625,12081548.2734375,0.11895453125,0.0008781843200599356
GBG,0.08928436488549618,87381.57099236641,0.0,0.01861584427480916,0.0
GBX,9.974426330666667,157826.448,7391213.704,2.73337052,0.02688610794959936
GBYTE,258.4757610241821,655337.9630156473,129736848.60597439,44.08409672830726,0.004067338525655506
GCC,0.008745881012658227,11743.702109704642,1282585.923206751,0.008001913080168777,0.032015075036577634
GCN,5.338819795221843e-06,4273.093515358361,807933.8593856655,2.892225255972696e-06,0.002955246544002975
GCR,0.05876905877413938,156846.79093198993,6014311.989084803,0.012072017632241814,0.009857132991911145
GCS,0.008496231012658229,17757.981012658227,0.0,0.002069113924050633,0.0
GDC,0.00017256105438401775,1547.4472807991121,38922.3962264151,4.989795782463929e-05,0.005329867978276689
GEERT,0.004600771615008156,1384.6035889070147,23287.352365415987,0.001639616639477977,0.028319592910521416
GEM,0.010277095406360424,528959.5477031802,3142661.632508834,0.0019190070671378091,0.02941577258483866
GEN,0.20264717156862747,117543.83823529411,5888630.848039215,0.033677049019607844,0.017496631146110986
GENE,0.006267872549019607,53816.6568627451,1508279.681372549,0.0012507745098039216,0.03625483106293696
GEO,0.6024087952697709,111741.70731707317,1835926.9741315595,0.14770763340724316,0.01893841858768424
GET,0.7662344767801857,36627.585139318886,6524034.517027864,0.1904002414860681,0.006091641485189648
GETX,0.01720998728813559,145811.03813559323,4599527.987288136,0.005658008474576271,0.017622162881321828
GIC,0.38288534782608696,6498.634782608696,453985.8956521739,0.08011970434782609,0.007725234303711156
GIN,5.022931937172775,106693.74869109948,11833844.549738219,0.7592146596858639,0.007968347906501127
GIO,0.0005021130434782609,2629.791304347826,0.0,7.024347826086957e-05,0.0
GLA,0.3178018881118881,66198.84615384616,2447304.0734265735,0.05503062237762238,0.0024813699184578256
GLD,0.042274563883299796,24898.717806841047,1672834.949698189,0.007946047283702214,0.005292406466546521
GLT,0.006172733459357278,2649.3497164461246,167492.15311909263,0.0023368695652173917,0.01332430421939147
GMCN,0.02551225,913.6379310344828,75244.06896551725,0.010676956896551723,0.005843717128021704
GNO,115.32456747404845,1673175.9965397923,127386300.92214532,14.989999999999998,0.014540754077124402
GNR,0.039403410256410254,8770.397435897436,361654.2051282051,0.00893729487179487,0.011265860091952871
GNT,0.2733086432432433,8570464.271621622,231331193.59594595,0.037712370270270267,0.02984001315313853
GNX,0.2511575446685879,4274348.9596541785,35646528.798270896,0.03752970893371758,0.03470203602616881
GO,0.047460405882352945,3157718.723529412,24996961.85882353,0.007856017647058823,0.09348352111987522
GOD,24.702546583850932,23480.378881987577,0.0,5.460465838509316,0.0
GOLF,0.00013470358306188926,1987.6384364820847,112443.003257329,5.4369706840390886e-05,0.00177082471686956
